Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
vintage-floral-pearl-earrings,"Vintage Floral Pearl Earrings","<p>Hand-painted enamel petals in soft sage and lilac cradle a luminous freshwater pearl. A romantic, vintage-inspired statement piece that feels like a tiny garden in bloom.</p>","Luna Clara Designs","Earrings","earrings, pearl, floral, vintage",TRUE,Title,Default Title,LC-EAR-001,0,shopify,10,deny,manual,32.00,45.00,TRUE,TRUE,https://raw.githubusercontent.com/lunaclaradesigns/LunaClaraRepo/main/public/products/earrings-vintage-floral.jpg,1,"Vintage Floral Pearl Earrings",FALSE,"Vintage Floral Pearl Earrings - Luna Clara Designs","Hand-painted enamel petals in soft sage and lilac cradle a luminous freshwater pearl. A romantic vintage-inspired statement earring.",active
starburst-pearl-drop-earrings,"Starburst Pearl Drop Earrings","<p>A dazzling crystal starburst suspends a smooth baroque pearl drop. Elegant enough for a wedding, light enough for everyday glow.</p>","Luna Clara Designs","Earrings","earrings, pearl, crystal, bridal",TRUE,Title,Default Title,LC-EAR-002,0,shopify,10,deny,manual,38.00,52.00,TRUE,TRUE,https://raw.githubusercontent.com/lunaclaradesigns/LunaClaraRepo/main/public/products/earrings-pearl-starburst.jpg,1,"Starburst Pearl Drop Earrings",FALSE,"Starburst Pearl Drop Earrings - Luna Clara Designs","A dazzling crystal starburst suspends a smooth baroque pearl drop. Elegant for weddings and everyday glow.",active
emerald-halo-necklace,"Emerald Halo Necklace","<p>A rich emerald-green stone framed by a halo of sparkling crystals on a delicate gold-tone chain. Timeless, regal, and effortlessly elegant.</p>","Luna Clara Designs","Necklaces","necklace, emerald, gold, statement",TRUE,Title,Default Title,LC-NEC-001,0,shopify,10,deny,manual,42.00,58.00,TRUE,TRUE,https://raw.githubusercontent.com/lunaclaradesigns/LunaClaraRepo/main/public/products/necklace-emerald.jpg,1,"Emerald Halo Necklace",FALSE,"Emerald Halo Necklace - Luna Clara Designs","A rich emerald-green stone framed by sparkling crystals on a delicate gold-tone chain. Timeless and regal.",active
golden-rose-locket-necklace,"Golden Rose Locket Necklace","<p>An ornate gold-tone pendant engraved with a single rose, finished with a woven chain and delicate tassel drops. An heirloom-feel keepsake.</p>","Luna Clara Designs","Necklaces","necklace, gold, rose, pendant",TRUE,Title,Default Title,LC-NEC-002,0,shopify,10,deny,manual,46.00,,TRUE,TRUE,https://raw.githubusercontent.com/lunaclaradesigns/LunaClaraRepo/main/public/products/necklace-gold-rose.jpg,1,"Golden Rose Locket Necklace",FALSE,"Golden Rose Locket Necklace - Luna Clara Designs","An ornate gold-tone pendant engraved with a single rose. An heirloom-feel keepsake necklace.",active
shell-and-pearl-necklace,"Shell & Pearl Necklace","<p>A crystal-pavé seashell opens to reveal a single pearl, strung on a shimmering gold-tone chain. Dainty, dreamy, and perfect for layering.</p>","Luna Clara Designs","Necklaces","necklace, pearl, shell, dainty",TRUE,Title,Default Title,LC-NEC-003,0,shopify,10,deny,manual,34.00,48.00,TRUE,TRUE,https://raw.githubusercontent.com/lunaclaradesigns/LunaClaraRepo/main/public/products/necklace-shell-pearl.jpg,1,"Shell & Pearl Necklace",FALSE,"Shell & Pearl Necklace - Luna Clara Designs","A crystal-pavé seashell opens to reveal a single pearl on a shimmering gold-tone chain. Perfect for layering.",active
crystal-wrap-bangle,"Crystal Wrap Bangle","<p>A double-row pavé crystal bangle with an open wrap design that slips on easily and catches the light from every angle. Pure understated luxury.</p>","Luna Clara Designs","Bracelets","bracelet, bangle, crystal, gold",TRUE,Title,Default Title,LC-BRA-001,0,shopify,10,deny,manual,48.00,65.00,TRUE,TRUE,https://raw.githubusercontent.com/lunaclaradesigns/LunaClaraRepo/main/public/products/bangle-crystal-gold.jpg,1,"Crystal Wrap Bangle",FALSE,"Crystal Wrap Bangle - Luna Clara Designs","A double-row pavé crystal bangle with an open wrap design that catches light from every angle.",active
solitaire-crystal-ring,"Solitaire Crystal Ring","<p>A brilliant round-cut crystal solitaire raised on a pavé-set band that sparkles all the way around. A breathtaking everyday treasure.</p>","Luna Clara Designs","Rings","ring, solitaire, crystal, rose-gold",TRUE,Title,Default Title,LC-RNG-001,0,shopify,10,deny,manual,44.00,60.00,TRUE,TRUE,https://raw.githubusercontent.com/lunaclaradesigns/LunaClaraRepo/main/public/products/ring-solitaire.jpg,1,"Solitaire Crystal Ring",FALSE,"Solitaire Crystal Ring - Luna Clara Designs","A brilliant round-cut crystal solitaire on a pavé-set band. A breathtaking everyday treasure.",active
blossom-gift-box,"Blossom Gift Box","<p>A soft, romantic set of 2-3 curated pieces, beautifully presented with ribbon. Perfect for birthdays and Eid.</p>","Luna Clara Designs","Gift Boxes","gift-box, medium, birthday, eid",TRUE,Title,Default Title,LC-BOX-M01,0,shopify,10,deny,manual,65.00,,TRUE,TRUE,,1,"Blossom Gift Box",FALSE,"Blossom Gift Box - Luna Clara Designs","A soft romantic set of 2-3 curated jewelry pieces beautifully presented with ribbon. Perfect for birthdays and Eid.",active
moonlight-gift-box,"Moonlight Gift Box","<p>Golden accents and delicate pearls, elegantly wrapped and ready to gift.</p>","Luna Clara Designs","Gift Boxes","gift-box, medium, pearl, gold",TRUE,Title,Default Title,LC-BOX-M02,0,shopify,10,deny,manual,72.00,,TRUE,TRUE,,1,"Moonlight Gift Box",FALSE,"Moonlight Gift Box - Luna Clara Designs","Golden accents and delicate pearls elegantly wrapped and ready to gift in the Moonlight Gift Box.",active
luna-luxe-box,"Luna Luxe Box","<p>Our most-loved premium set: 4-5 hand-selected pieces in a velvet-lined box with a gift card option.</p>","Luna Clara Designs","Gift Boxes","gift-box, large, luxury, premium",TRUE,Title,Default Title,LC-BOX-L01,0,shopify,10,deny,manual,110.00,,TRUE,TRUE,,1,"Luna Luxe Box",FALSE,"Luna Luxe Box - Luna Clara Designs","Our most-loved premium set with 4-5 hand-selected pieces in a velvet-lined box with a gift card option.",active
celestial-gift-box,"Celestial Gift Box","<p>Gold-tone statement pieces with a moonlight aesthetic, presented in luxury packaging.</p>","Luna Clara Designs","Gift Boxes","gift-box, large, gold, celestial",TRUE,Title,Default Title,LC-BOX-L02,0,shopify,10,deny,manual,125.00,,TRUE,TRUE,,1,"Celestial Gift Box",FALSE,"Celestial Gift Box - Luna Clara Designs","Gold-tone statement pieces with a moonlight aesthetic presented in luxury packaging.",active
